INFO  - 2014-03-10 06:40:48.110; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-03-10 06:40:48.111; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-03-10 06:40:48.111; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-03-10 06:40:48.111; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-03-10 06:40:48.111; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-03-10 06:40:48.112; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/dist/solr-clustering-4.7.0.jar' to classloader
INFO  - 2014-03-10 06:40:48.114; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-03-10 06:40:48.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-03-10 06:40:48.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/dist/solr-langid-4.7.0.jar' to classloader
INFO  - 2014-03-10 06:40:48.119; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2014-03-10 06:40:48.119; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-03-10 06:40:48.120; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-03-10 06:40:48.120; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-03-10 06:40:48.121; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/dist/solr-velocity-4.7.0.jar' to classloader
INFO  - 2014-03-10 06:40:48.285; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-03-10 06:40:48.290; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_47
INFO  - 2014-03-10 06:40:48.398; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-03-10 06:40:48.402; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-03-10 06:40:48.466; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-03-10 06:40:48.990; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-03-10 06:40:49.074; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-03-10 06:40:49.081; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-03-10 06:40:49.205; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-03-10 06:40:49.211; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/solr/collection1/, dataDir=/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/solr/collection1/data/
INFO  - 2014-03-10 06:40:49.213; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-03-10 06:40:49.216; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-03-10 06:40:49.216; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-03-10 06:40:49.226; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/solr/collection1/data
INFO  - 2014-03-10 06:40:49.227; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/solr/collection1/data/index/
WARN  - 2014-03-10 06:40:49.227; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-03-10 06:40:49.233; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/solr/collection1/data/index
INFO  - 2014-03-10 06:40:49.323; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/grantingersoll/projects/lucene/dev/solr-4.7.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-03-10 06:40:49.324; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-03-10 06:40:49.327; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-03-10 06:40:49.327; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
